id,category,title_or_collection,author_or_editor,translator,first_published,era,origin,original_language,style_genre,tone,typical_length_estimate,source_type,standard_ebooks_repo_verified,other_sources_to_check,us_pd_basis,author_death_year,life_plus_70_status_2026,content_notes,blind_mode_fit,test_priority,why_it_fits
21,Magazine archive,The Strand Magazine (pre-1931),George Newnes (publ.),,1891–1930,Fin de siècle (1890–1914),UK,English,"Popular fiction: Doyle, Wells, Wodehouse, Jacobs",Entertaining,Medium,Magazine,,Internet Archive (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,,Med,B,Where the popular short story was born; illustrated
22,Magazine archive,The Yellow Book (13 vols),Henry Harland (ed.),,1894–1897,Fin de siècle (1890–1914),UK,English,Decadent / aesthetic,"Languid, strange",Short,Quarterly,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,,High,B,Fin-de-siècle mood; unknown names reward blind mode
23,Magazine archive,Household Words,Charles Dickens (ed.),,1850–1859,Victorian (1850–1889),UK,English,Victorian weekly fiction,"Social, sentimental",Short,Weekly,,Dickens Journals Online; Internet Archive (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,,High,C,Many anonymous stories — blind mode by default
24,Magazine archive,The Smart Set (pre-1931),H.L. Mencken & G.J. Nathan (eds.),,1900–1930,Fin de siècle (1890–1914),USA,English,Sophisticated magazine fiction,"Witty, urban",Short,Magazine,,HathiTrust full view; Internet Archive (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,,High,C,Published early Fitzgerald; sharp editorial voice
25,Magazine archive,Weird Tales (1923–1930),J.C. Henneberger / Farnsworth Wright (eds.),,1923–1930,Interwar (1915–1930),USA,English,"Horror, weird, fantasy","Lurid, eerie",Short–medium,Pulp magazine,,Internet Archive (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,Pulp-era racism common,Med,B,"Lovecraft, Howard, Clark Ashton Smith in their original context"
26,Magazine archive,Black Mask (1920–1930),Joseph Shaw et al. (eds.),,1920–1930,Interwar (1915–1930),USA,English,Hardboiled crime,"Tough, fast",Short–medium,Pulp magazine,,Internet Archive (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,Period violence and slurs,Med,C,Birthplace of hardboiled; pairs with Hammett
27,Magazine archive,Amazing Stories (1926–1930),Hugo Gernsback (ed.),,1926–1930,Interwar (1915–1930),USA,English,Early science fiction,"Gee-whiz, naive",Medium,Pulp magazine,,Internet Archive (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,,Med,C,The first SF magazine; charmingly dated futures
28,Magazine archive,Argosy / All-Story (pre-1931),Frank A. Munsey Co.,,1896–1930,Fin de siècle (1890–1914),USA,English,"Adventure, romance, fantasy",Pulpy,Medium–long,Pulp magazine,,Internet Archive (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,Period racism common,Med,C,Huge volume of adventure stories
29,Magazine archive,The Crisis (1910–1930 fiction),W.E.B. Du Bois (ed.),,1910–1930,Fin de siècle (1890–1914),USA,English,Black American fiction,"Urgent, lyrical",Short,NAACP magazine,,Google Books; HathiTrust (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,,High,C,Early Harlem Renaissance fiction under Jessie Fauset's literary editing
30,Magazine archive,Fire!! (single issue),Wallace Thurman et al.,,1926,Interwar (1915–1930),USA,English,Harlem Renaissance avant-garde,Bold,Short,Little magazine,,Internet Archive (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,,High,C,"Contains Hurston's ""Sweat""; tiny, iconic"
31,Magazine archive,Harper's / Scribner's / Century / Atlantic (pre-1931),Various,,1850–1930,Victorian (1850–1889),USA,English,Literary magazine fiction,Varied,Short–medium,Magazine archives,,HathiTrust full view; Internet Archive (verify),Published before 1931 → US public domain,,Mixed — depends on each contributor,,High,C,Deep pool once you want volume; needs your own filtering
32,Aggregator / platform,Standard Ebooks — short fiction collections,Standard Ebooks (volunteers),,Various,Pre-1800,Global,English + translated,All,Varied,Varied,Clean CC0 ebook library,,standardebooks.org; bulk EPUBs via GitHub,Every release is vetted as US PD; their production files are CC0,,Per book,,—,A,"Cleanest, typo-fixed, semantically tagged EPUBs; reuses your EPUB ingestion code"
33,Aggregator / platform,Project Gutenberg — Short Stories bookshelf,Project Gutenberg,,Various,Pre-1800,Global,English + translated,All,Varied,Varied,Ebook library,,gutenberg.org,US PD per item (check each),,Per book,,—,A,Largest pool; messier text than Standard Ebooks
34,Aggregator / platform,"Project Gutenberg — lapsed-copyright pulp SF (Galaxy, IF, Astounding, 1950s–60s)",Various,,1950s–1960s,"Mid-century, lapsed copyright (1931–1965)",USA,English,Golden-age science fiction,"Clever, idea-driven",Short–medium,Ebook library,,"gutenberg.org (search ""science fiction"" bookshelf)",US PD via non-renewal (Gutenberg-cleared),,Mixed — most authors died after 1955,,High,A,Hundreds of tight idea-stories at exactly 7–12 min
35,Aggregator / platform,Wikisource — short stories portal,Wikisource,,Various,Pre-1800,Global,English + translated,All,Varied,Varied,Transcribed texts,,en.wikisource.org,US PD per item,,Per item,,—,B,Has magazine-original versions and standalone stories
36,Aggregator / platform,LibriVox — Short Story Collections (numbered volumes),LibriVox volunteers,,Various,Pre-1800,Global,English,All,Varied,Short–medium,Public-domain audio,,librivox.org,Recordings dedicated to public domain,,Per item,,Med,B,Ready-made audio for a listen mode; each volume is already a curated mix
37,Aggregator / platform,Internet Archive — pulp magazine scans,Internet Archive,,1900–1950s,Fin de siècle (1890–1914),USA,English,Pulp genres,Pulpy,Varied,Scan archive,,archive.org,Pre-1931 PD; later issues need renewal checks,,Per item,,Med,C,Raw volume; needs OCR cleanup
38,Aggregator / platform,Haldeman-Julius Little Blue Books (story titles),E. Haldeman-Julius (publ.),,1919–1930,Interwar (1915–1930),USA,English + translated,Pocket classics,Varied,Short,Pamphlet series,,Internet Archive; HathiTrust (verify),Published before 1931 → US public domain,,Mixed — check each author,,Med,C,A 1920s attempt at bite-sized reading for everyone — thematically close to your app
39,American,Short fiction (Tales),Edgar Allan Poe,,1832–1849,Romantic (1800–1849),USA,English,"Gothic, detective, horror","Dark, feverish",Short–medium,Collection,https://github.com/standardebooks/edgar-allan-poe_short-fiction,,Published before 1931 → US public domain,1849,Yes,,Low,A,Canonical 10-minute terror; very recognizable voice
40,American,Twice-Told Tales / Mosses from an Old Manse,Nathaniel Hawthorne,,1837–1846,Romantic (1800–1849),USA,English,"Allegory, Puritan gothic","Moral, uncanny",Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1864,Yes,,Med,B,Allegorical stories with strong endings
41,American,The Sketch Book of Geoffrey Crayon,Washington Irving,,1820,Romantic (1800–1849),USA,English,"Sketches, legends","Gentle, whimsical",Medium–long,Collection,https://github.com/standardebooks/washington-irving_the-sketch-book-of-geoffrey-crayon-gent,,Published before 1931 → US public domain,1859,Yes,,Med,B,"Rip Van Winkle, Sleepy Hollow + travel sketches"
42,American,"Short fiction (Piazza Tales, Bartleby…)",Herman Melville,,1853–1856,Victorian (1850–1889),USA,English,"Philosophical, strange",Enigmatic,Medium–long,Collection,https://github.com/standardebooks/herman-melville_short-fiction,,Published before 1931 → US public domain,1891,Yes,,Med,B,Bartleby is one of the great single-sitting reads
43,American,Short fiction,O. Henry,,1904–1911,Fin de siècle (1890–1914),USA,English,"Twist endings, city life","Warm, ironic",Short,Collection,https://github.com/standardebooks/o-henry_short-fiction,,Published before 1931 → US public domain,1910,Yes,Twists get predictable in bulk,Med,A,"Consistent length, huge volume, satisfying endings"
44,American,The Luck of Roaring Camp and Other Sketches,Bret Harte,,1870,Victorian (1850–1889),USA,English,"Western, gold rush",Sentimental,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1902,Yes,Period depictions of Chinese and Native Americans,Med,C,Invented the Western short story
45,American,In the Midst of Life (Tales of Soldiers and Civilians),Ambrose Bierce,,1891,Fin de siècle (1890–1914),USA,English,"War, horror","Bitter, precise",Short,Collection,https://github.com/standardebooks/ambrose-bierce_in-the-midst-of-life,,Published before 1931 → US public domain,1914,Yes,,Med,A,"Owl Creek Bridge — ending built for the ""pause"" mechanic"
46,American,Can Such Things Be?,Ambrose Bierce,,1893,Fin de siècle (1890–1914),USA,English,Supernatural,"Cold, eerie",Short,Collection,https://github.com/standardebooks/ambrose-bierce_can-such-things-be,,Published before 1931 → US public domain,1914,Yes,,Med,B,Compact ghost stories
47,American,The Country of the Pointed Firs,Sarah Orne Jewett,,1896,Fin de siècle (1890–1914),USA,English,"Regional, linked sketches","Quiet, luminous",Short,Linked collection,https://github.com/standardebooks/sarah-orne-jewett_the-country-of-the-pointed-firs,,Published before 1931 → US public domain,1909,Yes,,High,B,"Poetic, still; each chapter works alone"
48,American,A New England Nun and Other Stories,Mary E. Wilkins Freeman,,1891,Fin de siècle (1890–1914),USA,English,Regional realism,Restrained,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1930,Yes,,High,B,"Quiet, sharp portraits of women's lives"
49,American,"Short fiction (Bayou Folk, A Night in Acadie)",Kate Chopin,,1894–1897,Fin de siècle (1890–1914),USA,English,Louisiana realism,"Sensual, ironic",Flash–short,Collection,https://github.com/standardebooks/kate-chopin_short-fiction,,Published before 1931 → US public domain,1904,Yes,Period racial depictions,High,A,"""The Story of an Hour"" is a perfect short daily read"
50,American,The Conjure Woman,Charles W. Chesnutt,,1899,Fin de siècle (1890–1914),USA,English,"Folk tales, satire",Sly,Short–medium,Collection,https://github.com/standardebooks/charles-w-chesnutt_the-conjure-woman,,Published before 1931 → US public domain,1932,Yes,Heavy dialect; slavery themes,Med,B,Subversive frame tales
51,American,The Wife of His Youth and Other Stories,Charles W. Chesnutt,,1899,Fin de siècle (1890–1914),USA,English,Color line realism,Sharp,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1932,Yes,,High,B,Moral dilemmas with strong endings
52,American,Folks from Dixie,Paul Laurence Dunbar,,1898,Fin de siècle (1890–1914),USA,English,Southern life,Warm,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1906,Yes,Dialect,Med,C,Poet's prose
53,American,American Indian Stories,Zitkála-Šá,,1921,Interwar (1915–1930),USA (Yankton Dakota),English,Memoir-tales,"Lyrical, defiant",Short,Collection,https://github.com/standardebooks/zitkala-sa_american-indian-stories,,Published before 1931 → US public domain,1938,Yes,,High,B,Poetic autobiographical stories
54,American,Old Indian Legends,Zitkála-Šá,,1901,Fin de siècle (1890–1914),USA (Dakota),English,Retold legends,Mythic,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1938,Yes,,High,C,Iktomi trickster tales
55,American,Mrs. Spring Fragrance,Sui Sin Far (Edith Maude Eaton),,1912,Fin de siècle (1890–1914),USA/Canada,English,Chinese-American life,"Witty, tender",Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1914,Yes,,High,B,"Early Asian-American fiction, very readable"
56,American,The Yellow Wallpaper and other stories,Charlotte Perkins Gilman,,1892–1916,Fin de siècle (1890–1914),USA,English,"Psychological, feminist",Unsettling,Medium,Stories,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1935,Yes,,Med,A,One of the most gripping 20-minute reads in English
57,American,Tales of Men and Ghosts / Xingu,Edith Wharton,,1910–1916,Fin de siècle (1890–1914),USA,English,"Ghost stories, social satire","Elegant, cold",Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1937,Yes,,High,B,"Precise prose, great endings"
58,American,Short stories (various collections),Henry James,,1870s–1910,Victorian (1850–1889),USA/UK,English,Psychological,Subtle,Medium–long,Collections,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1916,Yes,Often exceeds 12 min,High,C,"The Real Thing, The Beast in the Jungle"
59,American,Short fiction,Jack London,,1899–1916,Fin de siècle (1890–1914),USA,English,"Adventure, Klondike, sea","Brutal, vivid",Short–medium,Collection,https://github.com/standardebooks/jack-london_short-fiction,,Published before 1931 → US public domain,1916,Yes,Period racism in some stories,Med,A,"""To Build a Fire"" — strong, simple narratives"
60,American,The Open Boat and Other Tales,Stephen Crane,,1898,Fin de siècle (1890–1914),USA,English,Naturalism,Stark,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1900,Yes,,Med,B,Tense survival stories
61,American,The Troll Garden / Youth and the Bright Medusa,Willa Cather,,1905 / 1920,Fin de siècle (1890–1914),USA,English,Art and artists,Lyrical,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1947,Yes,,High,B,"""Paul's Case""; poetic prose"
62,American,"Winesburg, Ohio",Sherwood Anderson,,1919,Interwar (1915–1930),USA,English,"Small-town grotesques, linked",Melancholy,Short,Linked collection,https://github.com/standardebooks/sherwood-anderson_winesburg-ohio,,Published before 1931 → US public domain,1941,Yes,,High,A,Each story ~10 min and works alone; linked doors built in
63,American,Short fiction,Ring Lardner,,1914–1930,Fin de siècle (1890–1914),USA,English,"Vernacular satire, sports",Deadpan,Short,Collection,https://github.com/standardebooks/ring-lardner_short-fiction | https://github.com/standardebooks/ring-lardner_jack-keefe-stories,,Published before 1931 → US public domain,1933,Yes,,Med,B,"""Haircut"" is a perfect unreliable-narrator piece"
64,American,"Short fiction (Flappers and Philosophers, Tales of the Jazz Age, All the Sad Young Men)",F. Scott Fitzgerald,,1920–1926,Interwar (1915–1930),USA,English,Jazz Age,"Glittering, sad",Medium,Collection,https://github.com/standardebooks/f-scott-fitzgerald_short-fiction,,Published before 1931 → US public domain,1940,Yes,,Med,A,Famous name = satisfying blind-mode reveal
65,American,"Short fiction (In Our Time, Men Without Women)",Ernest Hemingway,,1925–1927,Interwar (1915–1930),USA,English,Minimalist,Terse,Flash–short,Collection,https://github.com/standardebooks/ernest-hemingway_short-fiction,,Published before 1931 → US public domain,1961,No — clears Jan 1 2032,,Low,A,"Very short, very recognizable style"
66,American,Cane,Jean Toomer,,1923,Interwar (1915–1930),USA,English,"Modernist, prose-poetry hybrid",Lyrical,Flash–short,Hybrid collection,https://github.com/standardebooks/jean-toomer_cane,,Published before 1931 → US public domain,1967,No — clears Jan 1 2038,,High,B,Poetry and stories braided — bridges your poetry idea
67,American,Short fiction,Nella Larsen,,1920s,Interwar (1915–1930),USA,English,Harlem Renaissance,Ironic,Short,Collection,https://github.com/standardebooks/nella-larsen_short-fiction,,Published before 1931 → US public domain,1964,No — clears Jan 1 2035,,High,C,Small but distinctive
68,American,"""Sweat"" and ""Spunk""",Zora Neale Hurston,,1925–1926,Interwar (1915–1930),USA,English,Folk realism,"Earthy, fierce",Short,Individual stories,,Fire!! / Opportunity scans (verify),Published before 1931 → US public domain,1960,No — clears Jan 1 2031,Dialect; domestic violence,High,C,Two masterpieces from magazine originals
69,American,"""The City of Refuge"" and other stories",Rudolph Fisher,,1925–1930,Interwar (1915–1930),USA,English,Harlem life,"Comic, sharp",Medium,Individual stories,,Atlantic 1925 scans (verify),Published before 1931 → US public domain,1934,Yes,,High,C,Harlem Renaissance humor
70,American,Tropic Death,Eric Walrond,,1926,Interwar (1915–1930),Caribbean / USA,English,Caribbean modernism,"Dense, vivid",Medium,Collection,,HathiTrust full view; Internet Archive (verify),Published before 1931 → US public domain,1966,No — clears Jan 1 2037,Dense dialect and violence,High,C,Rare Caribbean voice of the 1920s
71,American,Short fiction (the pre-1931 stories),H.P. Lovecraft,,1917–1930,Interwar (1915–1930),USA,English,Cosmic horror,Dread,Medium,Collection,https://github.com/standardebooks/h-p-lovecraft_short-fiction,,Published before 1931 → US public domain,1937,Yes,Overt racism in several stories,Low,B,Hugely popular genre; needs an exclude list
72,American,Short fiction,Robert E. Howard,,1925–1936,Interwar (1915–1930),USA,English,Sword & sorcery,"Pulpy, energetic",Medium,Collection,https://github.com/standardebooks/robert-e-howard_short-fiction | https://github.com/standardebooks/robert-e-howard_conan-stories,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,1936,Yes,Period racism,Med,C,Pure momentum
73,American,Short fiction,Clark Ashton Smith,,1920s–1930s,Interwar (1915–1930),USA,English,Decadent fantasy,"Ornate, doomed",Short,Collection,https://github.com/standardebooks/clark-ashton-smith_short-fiction,,Published before 1931 → US public domain,1961,No — clears Jan 1 2032,,High,B,Prose-poetry in genre clothing
74,American,The King in Yellow,Robert W. Chambers,,1895,Fin de siècle (1890–1914),USA,English,Weird fiction,Hallucinatory,Medium,Collection,https://github.com/standardebooks/robert-w-chambers_the-king-in-yellow,,Published before 1931 → US public domain,1933,Yes,,High,B,Linked weird tales; cult status
75,American,"""The Lady, or the Tiger?"" and other stories",Frank R. Stockton,,1882,Victorian (1850–1889),USA,English,"Whimsy, puzzles",Playful,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1902,Yes,,High,B,A story that ends on a question — crossword energy
76,American,"""The Diamond Lens"" and other stories",Fitz-James O'Brien,,1858–1862,Victorian (1850–1889),USA,English,"Proto-SF, fantastic",Strange,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1862,Yes,,High,C,Forgotten proto-SF
77,American,Continental Op stories,Dashiell Hammett,,1923–1930,Interwar (1915–1930),USA,English,Hardboiled detective,Tough,Medium,Collection,https://github.com/standardebooks/dashiell-hammett_continental-op-stories,,Published before 1931 → US public domain,1961,No — clears Jan 1 2032,Violence; period slurs,Med,B,Mystery with a clear solve
78,American,"""A Jury of Her Peers""",Susan Glaspell,,1917,Interwar (1915–1930),USA,English,Feminist mystery,Tense,Medium,Single story,,Wikisource (verify),Published before 1931 → US public domain,1948,Yes,,High,B,A mystery the reader solves before the men do
79,American,Hungry Hearts,Anzia Yezierska,,1920,Interwar (1915–1930),USA,English,Immigrant life,Passionate,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1970,No — clears Jan 1 2041,,High,C,Lower East Side voices
80,American,The Imported Bridegroom and Other Stories,Abraham Cahan,,1898,Fin de siècle (1890–1914),USA,English,Immigrant realism,Wry,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1951,Yes,,High,C,Jewish immigrant New York
81,American,Life in the Iron Mills,Rebecca Harding Davis,,1861,Victorian (1850–1889),USA,English,Industrial realism,"Grim, visionary",Long,Novella,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1910,Yes,Runs long,High,C,Weekend-length pick
82,American,Main-Travelled Roads,Hamlin Garland,,1891,Fin de siècle (1890–1914),USA,English,Midwestern realism,"Hard, honest",Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1940,Yes,,High,C,Farm-life realism
83,American,Short fiction,Voltairine de Cleyre,,1890s–1910s,Fin de siècle (1890–1914),USA,English,Anarchist fiction,Fierce,Short,Collection,https://github.com/standardebooks/voltairine-de-cleyre_short-fiction,,Published before 1931 → US public domain,1912,Yes,,High,C,Oddity: political fiction by a poet
84,American,Short fiction,Edgar Saltus,,1880s–1910s,Victorian (1850–1889),USA,English,Decadent,Ornate,Short,Collection,https://github.com/standardebooks/edgar-saltus_short-fiction,,Published before 1931 → US public domain,1921,Yes,,High,C,American decadent — unusual flavor
85,American,Uncle Abner: Master of Mysteries,Melville Davisson Post,,1918,Interwar (1915–1930),USA,English,Frontier detective,"Moral, tense",Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1930,Yes,,High,B,Fair-play puzzles in 1800s Virginia
86,American,The Thinking Machine stories,Jacques Futrelle,,1905–1912,Fin de siècle (1890–1914),USA,English,Puzzle detective,Clever,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1912,Yes,,High,B,"""The Problem of Cell 13"" — pure puzzle"
87,American,Craig Kennedy stories,Arthur B. Reeve,,1910s,Fin de siècle (1890–1914),USA,English,Scientific detective,Gadget-y,Medium,Collection,https://github.com/standardebooks/arthur-b-reeve_craig-kennedy-stories,,Published before 1931 → US public domain,1936,Yes,,Med,C,Early forensic detective
88,American,"""Pigs Is Pigs"" and humor pieces",Ellis Parker Butler,,1906,Fin de siècle (1890–1914),USA,English,Humor,Absurd,Short,Story,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1937,Yes,,High,C,Bureaucratic comedy classic
89,American,Flowering Judas (orig. 1930 ed.),Katherine Anne Porter,,1930,Interwar (1915–1930),USA,English,Literary modernism,Intense,Medium,Collection,,HathiTrust (verify — newly PD in 2026),Published before 1931 → US public domain,1980,No — clears Jan 1 2051,,High,C,Just entered US PD; may not be digitized well yet
